Unnamed: 0,kW_site_1,kW_site_2,kW_site_3,kW_site_4,kW_site_5,kW_site_6,kW_site_7,kW_site_8,kW_site_9,kW_site_10,kW_site_11,kW_site_12,kW_site_13,kW_site_14,kW_site_15,kW_site_21,kW_site_22,kW_site_23,kW_site_24,kW_site_25,kW_site_26,kW_site_27,kW_site_28,kW_site_29,kW_site_30,kW_site_31,kW_site_32,kW_site_33,kW_site_34,kW_site_35,kW_site_36,kW_site_37,kW_site_38,kW_site_39,kW_site_40,kW_site_41,kW_site_42,kW_site_43,kW_site_44,kW_site_45,kW_site_46,kW_site_47,kW_site_48,kW_site_49,kW_site_50
2024-09-17 01:00:00+00:00,232.8733367919922,190.8423370361328,240.75265808105468,280.7851989746094,333.6861267089844,456.136,455.03599999999994,151.21200000000002,332.65,528.674,9123.302,624.0089999999999,864.0090000000002,,181.42299999999992,88.133,1271.635,550.519,1382.306,,6046.277,1244.2130000000002,1641.6,920.192,10.078,31798.533000000003,13464.059999999998,75.57300000000001,496.818,2764.898,9529.563999999998,17517.382,9512.997,,45615.50199999999,379.211,17106.650999999998,30.71899999999999,1583.908,4972.759,2021.831,240.012,1752.225,33.559,4.561
2024-09-17 01:05:00+00:00,226.85838928222657,208.47061462402343,230.6509552001953,282.7438659667969,343.6090087890625,431.956,400.342,129.596,347.759,311.078,9077.605,636.025,432.316,,187.929,98.498,1166.541,598.1719999999999,1388.245,,8464.623,1226.804,1684.798,946.069,10.08,32047.58,13571.572,63.022000000000006,489.651,2672.464,9514.981,17497.211,6216.134000000001,,52356.681,264.004,17279.327,34.56099999999999,1512.0550000000003,4952.872,2021.736,239.979,1785.773,33.648,8.159999999999998
2024-09-17 01:10:00+00:00,221.34092407226564,211.6476593017578,234.30623474121097,278.74342651367186,343.6090087890625,432.112,388.79800000000006,99.36,362.869,279.971,8917.668999999998,648.008,431.446,,181.424,94.614,1320.13,571.4649999999999,1267.171,,7258.047,1296.0949999999998,1667.629,907.28,10.083,32137.355000000003,13525.679,75.597,489.57700000000006,2857.218,9508.443,17472.871,4094.784,,85543.245,316.78200000000004,17280.785,38.401,1476.029,5030.786,2008.723,254.417,1743.896,33.563,19.201
2024-09-17 01:15:00+00:00,222.25845336914065,216.00137634277343,224.99334411621095,285.73521118164064,343.6090087890625,431.907,334.086,112.338,332.64300000000003,279.88100000000003,8995.801000000001,659.9190000000001,0.0009999999999308,,187.908,87.257,1344.653,568.4080000000001,1146.208,,31444.849,1278.564,1719.425,959.033,10.079,32216.371000000003,13510.909000000003,75.577,482.4459999999999,2764.8979999999997,9503.915,17496.947,4346.941,,89155.80600000001,307.22400000000005,17280.298,42.244,1583.803,4992.293000000001,2008.644,239.983,1777.368,67.13399999999999,3.3600000000000003
2024-09-17 01:20:00+00:00,223.8682098388672,212.97704162597657,223.5364959716797,287.27092895507815,320.266845703125,432.004,316.76800000000003,129.595,332.617,279.97200000000004,9032.899,648.0269999999999,0.6859999999999673,,187.91,87.26699999999998,1336.52,596.6890000000001,1007.923,,45970.356,1278.814,1831.674,945.988,10.087,31829.454,13523.197,63.00899999999999,482.346,2764.679,9500.489,17473.304,3486.031,,86574.88100000001,283.20199999999994,17108.831,34.558,1547.993,4953.055,2008.885,240.004,1760.529,33.643,10.08
2024-09-17 01:25:00+00:00,221.13430480957032,206.76866455078124,231.88225708007812,286.2348937988281,320.266845703125,456.00699999999995,322.57500000000005,142.552,332.622,279.908,8996.621,635.9739999999999,-0.0010000000000218,,187.935,90.729,1320.252,577.2939999999999,1117.5790000000002,,49596.308000000005,1261.417,1935.3380000000004,971.993,10.081,32009.454000000005,13464.597,63.011,467.988,2857.0119999999997,9497.451,17476.316,1764.041,,87865.92,312.037,17280.023999999998,34.556,1512.16,4992.053,2021.985,240.01800000000003,1777.425,33.588,20.159
2024-09-17 01:30:00+00:00,222.9504547119141,223.31919860839844,233.32388916015623,286.7294677734375,320.266845703125,431.982,322.555,95.02599999999998,347.82599999999996,279.947,9078.093,672.024,431.4030000000001,,181.445,88.54700000000001,1263.746,549.137,1238.382,,48374.079000000005,1295.875,1641.5790000000002,920.2919999999998,10.086,31152.757,13524.709,75.603,475.265,2764.5380000000005,9496.431,17561.053,6742.002,,87356.854,360.04100000000005,17107.074,30.723000000000003,1547.8200000000002,4973.349,2008.8129999999996,239.986,1760.706,33.589,20.039
2024-09-17 01:35:00+00:00,225.52019958496095,224.95347290039064,221.57146911621095,289.3165283203125,314.0605163574219,431.85099999999994,316.83000000000004,133.932,332.672,279.92300000000006,8985.534,659.992,430.95199999999994,,181.436,90.295,1295.948,581.784,1186.591,,50800.32899999999,1244.3470000000002,1460.1649999999995,920.085,10.087,31160.455,13415.642000000002,63.026,467.9410000000001,2764.903,9491.991999999998,17515.61,19570.074,,86311.052,287.96799999999996,17280.155000000002,34.561,1548.196,5011.248,2008.758,239.997,1836.359,33.606,10.921
2024-09-17 01:40:00+00:00,238.06989440917968,214.31724548339844,225.3469207763672,298.765673828125,314.0605163574219,432.041,334.073,125.26999999999998,332.644,279.93600000000004,8823.411,660.052,431.639,,187.899,95.906,1320.176,581.786,1094.406,,56855.494999999995,1261.3200000000002,1805.684,881.4220000000001,10.084,31219.484000000004,13463.035,63.026,460.8440000000001,2672.666,9494.109,17496.482,19928.464,,86309.426,278.403,17280.323,34.557,1583.9419999999998,4934.140000000001,2008.659,244.821,1465.742,33.577999999999996,3.3600000000000003
2024-09-17 01:45:00+00:00,238.13441162109376,232.94327392578128,228.99997253417968,278.59308471679685,314.0605163574219,432.06000000000006,348.47300000000007,125.269,317.54900000000004,279.93600000000004,8962.796,707.975,-0.9609999999999672,,187.936,97.2,1271.859,580.2959999999999,1065.483,,55645.759,1330.71,1909.5369999999996,907.105,10.072,31050.145999999997,13416.262,75.576,460.814,2764.7969999999996,9493.233,17517.816,20013.178,,86316.897,302.395,17107.597,34.562,1547.986,5011.034,2021.6289999999997,240.003,1625.6619999999998,67.205,89.52600000000001
