Unnamed: 0,kW_site_1,kW_site_2,kW_site_3,kW_site_4,kW_site_5,kW_site_6,kW_site_7,kW_site_8,kW_site_9,kW_site_10,kW_site_11,kW_site_12,kW_site_13,kW_site_14,kW_site_15,kW_site_21,kW_site_22,kW_site_23,kW_site_24,kW_site_25,kW_site_26,kW_site_27,kW_site_28,kW_site_29,kW_site_30,kW_site_31,kW_site_32,kW_site_33,kW_site_34,kW_site_35,kW_site_36,kW_site_37,kW_site_38,kW_site_39,kW_site_40,kW_site_41,kW_site_42,kW_site_43,kW_site_44,kW_site_45,kW_site_46,kW_site_47,kW_site_48,kW_site_49,kW_site_50
2024-10-04 09:40:00+00:00,120.18538513183594,136.40119323730468,136.28504333496093,166.29905700683594,180.3439178466797,359.829,190.09500000000003,90.714,604.825,279.873,5068.917,491.987,863.774,,149.02100000000002,71.286,1142.132,462.773,910.053,,62892.35199999999,1036.775,889.9029999999999,855.302,10.081,31278.744,11965.288,1864.713,0.0,0.0,9636.651,17476.407,7266.413,,86832.36499999999,263.98699999999997,23845.777,172.763,1404.02,11077.462,,1521.862,2687.094,67.264,6.957000000000001
2024-10-04 09:45:00+00:00,116.9590850830078,142.63635864257813,136.45525817871095,171.55681762695312,180.3439178466797,360.0369999999999,192.961,77.753,665.193,279.931,5253.879999999999,515.996,0.9099999999999454,,155.51,74.306,1077.2909999999997,450.85599999999994,898.579,,56852.056,898.689,1071.356,816.5339999999999,10.071000000000002,31199.911000000004,11951.826,1877.303,7.199,0.0,9629.579000000002,17473.439000000002,7244.867,,86574.898,283.193,24019.271,180.493,1368.035,11040.932,,1118.519,2763.153,33.644,31.669
2024-10-04 09:50:00+00:00,116.92880249023438,144.75278930664064,141.05565185546874,170.10301208496094,180.04653930664062,359.992,184.308,90.739,665.318,279.957,5218.195999999999,515.992,432.122,,149.03000000000003,67.392,1166.359,544.6160000000001,933.058,,72572.024,1036.721,1019.513,829.518,10.084,31345.3,11951.042,1865.025,0.0,0.0,9631.326,17495.475000000002,7265.745,,86577.039,268.828,24018.401000000005,184.334,1367.927,11020.304999999998,,1204.558,2678.4959999999996,33.619,241.452
2024-10-04 09:55:00+00:00,122.61604309082033,144.45096435546876,149.59791870117186,169.31505432128907,180.04653930664062,360.04299999999995,190.073,77.76899999999999,680.3879999999999,279.96000000000004,5195.728999999999,491.986,0.2180000000000291,,149.051,75.16299999999998,1174.669,560.9300000000001,921.6419999999998,,61692.781,985.1160000000002,855.4009999999998,790.546,10.077,30981.852000000003,12012.925999999998,1864.547,0.0,0.0,9642.803,17497.55,7266.036999999999,,86309.87700000001,273.585,24192.606,238.06200000000004,1368.0549999999998,11078.065,,2112.2519999999995,2779.932,33.622,248.169
2024-10-04 10:00:00+00:00,117.94165802001952,129.6871337890625,141.26502380371093,164.55603942871093,180.04653930664062,336.023,204.487,82.08399999999999,695.5730000000001,279.896,5125.925,515.998,-0.0400000000000545,,149.052,69.982,1174.5000000000002,555.048,921.521,,60481.286,1053.9900000000002,768.9439999999998,803.548,10.075,31265.589,11904.612,1814.42,7.197,0.0,9639.606,17473.451999999997,7266.089,,86565.187,302.412,24020.142,280.29,1403.898,11002.441,,1766.101,2729.656,67.171,247.296
2024-10-04 10:05:00+00:00,123.4271011352539,141.16830139160157,135.89918823242186,169.8560363769531,179.93768310546875,360.094,273.599,69.104,695.495,466.579,5357.032000000001,515.988,863.5880000000001,,149.041,66.099,1125.801,583.333,915.883,,55644.612,1054.079,829.4559999999999,764.582,10.088,31278.161,11950.698,1789.34,0.0,0.0,9639.594999999998,17451.752999999997,7266.205,,86581.058,268.777,21080.774,238.098,1404.13,10963.341,,1430.5850000000005,2729.387,33.577,257.6619999999999
2024-10-04 10:10:00+00:00,139.3374786376953,131.1100311279297,141.89150390625,170.79677124023436,179.93768310546875,359.979,290.911,82.059,725.8199999999999,559.848,5137.696999999999,528.027,-0.7050000000000182,,149.05800000000002,77.321,1125.828,614.472,685.396,,38701.51700000001,1209.583,984.904,790.612,10.083,31163.165,11965.333,1789.266,7.202,0.0,9643.545000000002,17431.604,7265.177000000001,,86570.41900000001,278.421,18146.839,180.48200000000003,1368.014,11019.234,,2006.2629999999997,2762.84,33.564,243.582
2024-10-04 10:15:00+00:00,126.56566009521484,137.97036743164062,137.76430053710936,175.6612121582031,179.93768310546875,408.03899999999993,290.869,69.11500000000001,710.6129999999999,591.0200000000001,5414.420999999999,539.997,431.953,,155.52200000000002,66.525,1182.709,558.037,575.9739999999999,,61703.29299999999,1226.88,993.573,777.5330000000001,15.109,31162.867,11902.268000000002,1814.289,0.0,0.0,9633.346,17452.306999999997,7265.901,,86311.573,292.834,17796.529,172.79999999999998,1403.9429999999998,11059.898999999998,,1982.5129999999997,2763.0229999999997,33.555,252.25
2024-10-04 10:20:00+00:00,126.52130279541016,144.81482543945313,140.22405395507812,179.7008026123047,192.6876678466797,431.958,287.99300000000005,95.018,725.738,591.016,5460.955,539.9480000000001,431.683,,149.05,66.958,1085.319,583.258,495.369,,38702.624,1296.12,1028.176,842.467,10.087,31267.581999999995,11953.395,1827.177,0.0,92.088,9634.8,17431.835,7287.897,,86574.45800000001,278.4,17970.661,165.121,1367.8849999999998,11001.286999999998,,1780.8259999999998,2754.5829999999996,67.221,257.543
2024-10-04 10:25:00+00:00,135.90789794921875,139.81055297851563,143.0135070800781,191.2617431640625,192.6876678466797,456.062,288.003,82.08900000000001,725.7359999999999,591.018,5564.329000000001,528.044,431.471,,155.511,73.01,1198.758,507.386,483.89,,12094.254,1278.674,1123.194,868.327,10.069,31298.197999999997,12012.422,1776.393,7.198,0.0,9636.937,17410.285,7244.382,,86568.572,307.204,17973.757,249.59,1368.025,11040.454000000002,,1876.7190000000005,2619.7630000000004,33.577,247.17
